場コード,年,回,日,R,馬番,血統登録番号,馬名,ＩＤＭ,騎手指数,情報指数,予備1,予備2,予備3,総合指数,脚質,距離適性,上昇度,ローテーション,基準オッズ,基準人気順位,基準複勝オッズ,基準複勝人気順位,特定情報◎,特定情報○,特定情報▲,特定情報△,特定情報×,総合情報◎,総合情報○,総合情報▲,総合情報△,総合情報×,人気指数,調教指数,厩舎指数,調教矢印コード,厩舎評価コード,騎手期待連対率,激走指数,蹄コード,重適正コード,クラスコード,予備,ブリンカー,騎手名,負担重量,見習い区分,調教師名,調教師所属,前走1競走成績キー,前走2競走成績キー,前走3競走成績キー,前走4競走成績キー,前走5競走成績キー,前走1レースキー,前走2レースキー,前走3レースキー,前走4レースキー,前走5レースキー,枠番,総合印,ＩＤＭ印,情報印,騎手印,厩舎印,調教印,激走印,芝適性コード,ダ適性コード,騎手コード,調教師コード,獲得賞金,収得賞金,条件クラス,テン指数,ペース指数,上がり指数,位置指数,ペース予想,道中順位,道中差,道中内外,後3Ｆ順位,後3Ｆ差,後3Ｆ内外,ゴール順位,ゴール差,ゴール内外,展開記号,距離適性2,枠確定馬体重,枠確定馬体重増減,取消フラグ,性別コード,馬主名,馬主会コード,馬記号コード,激走順位,LS指数順位,テン指数順位,ペース指数順位,上がり指数順位,位置指数順位,騎手期待単勝率,騎手期待3着内率,輸送区分,走法,体型,体型総合1,体型総合2,体型総合3,馬特記1,馬特記2,馬特記3,馬スタート指数,馬出遅率,参考前走,参考前走騎手コード,万券指数,万券印,降級フラグ,激走タイプ,休養理由分類コード,フラグ,入厩何走目,入厩年月日,入厩何日前,放牧先,放牧先ランク,厩舎ランク,改行,年月日,race_key
3,25,3,5,1,1,23103288,ロココ,19.0,0.2,-1.0,0.0,0.0,0.0,18.2,4,,3.0,5.0,37.1,11,7.4,11,,,,1.0,,,,,9.0,,8.0,-11.9,-14.6,3,3,3.4,114,24.0,2.0,38.0,,,丸山元気,550,,根本康広,美浦,2310328820251013.0,2310328820250720.0,2310328820250705.0,,,5254501.0,3252804.0,3252304.0,,,1,,,,,,,,3,3,10547,10334,,,0,-11.4,-9.3,-20.2,-9.8,H,5.0,15.0,2.0,8.0,14.0,2.0,7.0,14.0,3.0,0,,,,,2,内田　裕美氏,,0,8.0,6.0,6.0,8.0,8.0,9.0,1.3,6.7,2,,2323233222332333,162.0,,,162.0,189.0,,0.2,33.0,2.0,10547,29,,0,A4,,010000,1,20251105,17.0,テンコートレーニングセンター,D,8,,20251122,03_3_5_01
3,25,3,5,1,2,23103809,プレザントトーン,20.0,0.4,-1.0,0.0,0.0,0.0,19.4,4,1.0,3.0,15.0,21.5,9,4.6,9,,,,,,1.0,1.0,1.0,4.0,,21.0,-12.3,-10.0,3,3,6.3,84,11.0,2.0,38.0,,,今村聖奈,530,9.0,武幸四郎,栗東,2310380920250803.0,2310380920250629.0,2310380920250614.0,,,1251401.0,2251601.0,2251105.0,,,2,,,,,,,,3,3,10613,10469,,,0,-12.9,-18.2,-14.5,-13.8,H,7.0,16.0,3.0,11.0,18.0,2.0,5.0,12.0,1.0,0,,,,,2,吉田　晴哉氏,4.0,0,12.0,6.0,7.0,13.0,5.0,11.0,2.4,11.5,3,,2222222221222222,162.0,,,162.0,,,-0.8,67.0,1.0,10642,35,5.0,0,,1.0,010001,1,20251104,18.0,宇治田原優駿ステーブル,A,3,,20251122,03_3_5_01
3,25,3,5,1,3,23106937,クリソプテロン,10.0,0.2,0.0,0.0,0.0,0.0,10.2,3,2.0,3.0,8.0,35.7,10,7.2,10,,,,3.0,,,,1.0,5.0,,11.0,-9.9,-3.6,3,3,3.4,136,2.0,2.0,38.0,,1,富田暁,550,,浜田多実雄,栗東,2310693720250920.0,2310693720250907.0,,,,9254601.0,6254206.0,,,,3,,,,,,,1.0,,3,10588,10447,,,0,-6.5,-3.3,-45.2,-12.6,H,2.0,9.0,2.0,5.0,12.0,2.0,14.0,33.0,1.0,0,,,,,2,Tf[[VO@@@@@@@@@@,6.0,0,5.0,6.0,3.0,3.0,14.0,10.0,1.3,6.7,3,,2332212211332333,,,,,,,0.0,0.0,1.0,10605,29,,0,A2,,000001,1,20251029,24.0,ノーザンファームしがらき,A,5,,20251122,03_3_5_01
3,25,3,5,1,4,23102891,グロリアス,34.0,0.8,2.6,0.0,0.0,0.0,37.4,2,2.0,3.0,5.0,13.2,6,3.1,6,1.0,1.0,,5.0,,4.0,1.0,5.0,48.0,,95.0,11.8,15.0,3,3,13.4,135,10.0,2.0,38.0,,1,松本大輝,540,1.0,新谷功一,栗東,2310289120251012.0,2310289120250928.0,,,,8253402.0,9254904.0,,,,3,3.0,2.0,5.0,6.0,5.0,4.0,1.0,,3,10611,10481,246.0,,0,-25.9,-12.1,-0.3,-3.7,H,10.0,19.0,2.0,9.0,14.0,5.0,1.0,,5.0,2,,,,,2,飯田　貴大氏,,0,6.0,6.0,12.0,9.0,1.0,5.0,6.0,22.5,3,,2222222222222222,162.0,,,465.0,78.0,162.0,0.0,0.0,2.0,10628,57,1.0,0,A3,,000001,1,20251030,23.0,島上牧場,A,6,,20251122,03_3_5_01
3,25,3,5,1,5,23104086,エルヴ,10.0,0.2,-1.0,0.0,0.0,0.0,9.2,4,,3.0,7.0,47.7,14,9.4,14,,,,,,,,,3.0,,3.0,-12.3,-10.0,3,3,3.4,146,10.0,2.0,18.0,,,藤懸貴志,550,,羽月友彦,栗東,2310408620250927.0,,,,,9254804.0,,,,,4,,,,,,,,3,,10558,10401,,,0,-26.3,-18.0,-27.0,-14.0,H,13.0,26.0,2.0,13.0,23.0,2.0,12.0,29.0,2.0,4,,,,,2,永田　和彦氏,7.0,0,4.0,6.0,13.0,12.0,11.0,13.0,1.3,6.7,3,,3222222222222222,,,,,,,-1.0,99.9,,10558,35,4.0,0,B1,,210000,1,20251025,28.0,チャンピオンヒルズ,A,8,,20251122,03_3_5_01
3,25,3,5,1,6,23104393,クレマチス,37.0,1.4,3.3,0.0,0.0,0.0,41.7,4,2.0,3.0,2.0,6.9,4,2.1,4,1.0,,1.0,5.0,,12.0,5.0,12.0,32.0,,220.0,14.5,20.0,3,3,24.0,105,10.0,3.0,38.0,,,鮫島克駿,550,,杉山佳明,栗東,2310439320251101.0,,,,,,,,,,4,1.0,1.0,4.0,4.0,4.0,2.0,,,3,10578,10487,75.0,,0,-10.5,-3.9,-10.1,-3.0,H,6.0,15.0,4.0,3.0,11.0,4.0,2.0,4.0,3.0,3,,,,,2,ノースヒルズ,8.0,0,10.0,3.0,5.0,4.0,2.0,3.0,11.4,36.4,3,,2222222222222222,,,,,,,0.0,0.0,1.0,10578,31,,0,,,000000,2,20250926,,大山ヒルズ,A,3,,20251122,03_3_5_01
3,25,3,5,1,7,23102345,ライブリピュア,10.0,0.2,0.0,0.0,0.0,0.0,10.2,4,,3.0,6.0,47.3,13,9.3,13,,,,,,,,,5.0,,3.0,-7.1,-13.2,3,3,3.4,77,11.0,2.0,38.0,,,遠藤汰月,520,3.0,尾形和幸,美浦,2310234520251005.0,,,,,5254206.0,,,,,5,,,,,,,,,3,10638,10450,,,0,-30.3,-30.6,-10.8,-16.0,H,14.0,29.0,2.0,14.0,27.0,2.0,11.0,25.0,1.0,3,,,,,2,加藤　哲郎氏,9.0,0,14.0,6.0,14.0,14.0,3.0,14.0,1.3,6.7,2,,2213233221222322,162.0,,,162.0,,,0.0,0.0,1.0,10638,21,,0,,,010000,1,20251112,10.0,松風馬事センター,C,6,,20251122,03_3_5_01
3,25,3,5,1,8,23105317,ウィングブルー,33.0,3.1,5.3,0.0,0.0,0.0,41.4,1,5.0,3.0,2.0,2.7,1,1.3,1,4.0,1.0,2.0,,,28.0,26.0,7.0,6.0,,557.0,19.2,34.9,2,1,52.9,190,24.0,1.0,38.0,,,斎藤新,550,,斎藤誠,美浦,2310531720251102.0,2310531720251013.0,2310531720250920.0,2310531720250719.0,2310531720250622.0,,5254501.0,6254601.0,3252703.0,5253605.0,5,2.0,3.0,1.0,1.0,1.0,1.0,,3,2,10598,10396,690.0,,0,6.9,9.0,-29.5,1.1,H,1.0,,2.0,1.0,,2.0,3.0,6.0,1.0,1,2.0,,,,2,小山田　明人氏,,0,1.0,1.0,1.0,1.0,12.0,1.0,31.9,66.4,2,,2223332122332323,,,,421.0,162.0,,0.4,0.0,2.0,10598,38,3.0,0,,,000009,4,20250902,,ノーザンファーム天栄,A,5,,20251122,03_3_5_01
3,25,3,5,1,9,23105555,ウォータースパウト,22.0,0.2,0.0,0.0,0.0,0.0,22.2,4,,3.0,5.0,39.8,12,7.9,12,,,,,,1.0,,3.0,9.0,,13.0,-11.9,7.3,3,3,3.4,122,22.0,2.0,38.0,,,佐々木大輔,550,,小笠倫弘,美浦,2310555520251012.0,2310555520250726.0,,,,5254401.0,1251105.0,,,,6,,,,,,,,,3,10617,10386,,,0,-5.3,-7.6,-22.8,-9.4,H,3.0,13.0,2.0,6.0,13.0,3.0,8.0,15.0,2.0,0,,,,,2,O[t@[@@@@@@@@@@@,5.0,0,7.0,2.0,2.0,7.0,10.0,8.0,1.3,6.7,2,,2223232222331122,162.0,,,78.0,162.0,189.0,-0.6,0.0,1.0,10617,34,6.0,0,B2,,000000,1,20251105,17.0,エスティファーム小見川,C,3,,20251122,03_3_5_01
3,25,3,5,1,10,23104372,セレーノ,23.0,0.4,0.0,0.0,0.0,0.0,23.4,4,5.0,3.0,6.0,20.8,8,4.5,8,,,,2.0,,2.0,,,12.0,,18.0,-5.8,-10.0,2,3,6.3,172,11.0,3.0,38.0,,,永島まなみ,530,9.0,高橋亮,栗東,2310437220251005.0,2310437220250719.0,2310437220250621.0,,,8253201.0,,2251305.0,,,6,7.0,,,,,,1.0,3,3,10607,10445,,,0,-18.7,-16.1,-12.7,-13.8,H,12.0,20.0,3.0,12.0,20.0,2.0,9.0,16.0,1.0,0,,,,,2,ノースヒルズ,8.0,0,2.0,6.0,11.0,11.0,4.0,12.0,2.4,11.5,3,,2322222221222222,162.0,,,162.0,,,-1.0,33.0,1.0,10607,46,2.0,0,A1,,000000,1,20251101,21.0,大山ヒルズ,A,3,,20251122,03_3_5_01
